"q15","q16","y3","y10","q14","Class"
"Somewhat disagree","Strongly agree","Somewhat improved","Somewhat worsened","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Somewhat worsened","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Stayed about the same","Somewhat improved","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Somewhat improved","Significantly worsened","more.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly improved","Not a barrier for me","Somewhat worsened","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Strongly agree","Strongly agree","Stayed about the same","Somewhat improved","Somewhat improved","more.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Somewhat agree","Somewhat worsened","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Strongly agree","Somewhat worsened","Somewhat worsened","Somewhat improved","more.productivity"
"Somewhat disagree","Somewhat agree","Somewhat worsened","Somewhat improved","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Stayed about the same","Stayed about the same","more.productivity"
"Strongly agree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Not a barrier for me","more.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","more.productivity"
"Somewhat agree","Neither agree nor disagree","Significantly worsened","Somewhat worsened","Stayed about the same","more.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","more.productivity"
"Strongly agree","Somewhat agree","Stayed about the same","Stayed about the same","Significantly improved","more.productivity"
"Strongly agree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","more.productivity"
"Somewhat agree","Strongly agree","Somewhat worsened","Significantly improved","Somewhat improved","more.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Significantly worsened","Significantly worsened","more.productivity"
"Somewhat agree","Somewhat agree","Significantly improved","Somewhat improved","Somewhat improved","more.productivity"
"Somewhat agree","Strongly agree","Significantly improved","Significantly improved","Somewhat improved","more.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Not a barrier for me","Not a barrier for me","more.productivity"
"Somewhat agree","Somewhat agree","Significantly worsened","Somewhat improved","Somewhat improved","more.productivity"
